task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
55	8d/a65b33	627013	sketch (Sketch on SRS018978)	COMPLETED	0	2024-09-18 04:52:29.782	37.2s	37.1s	477.7%	7 GB	12 GB	5.8 GB	1.3 GB
31	ca/60d989	627109	sketch (Sketch on SRS065310)	COMPLETED	0	2024-09-18 04:52:29.795	37.8s	37.6s	467.9%	6.9 GB	12 GB	5.6 GB	1.2 GB
48	1f/1941e5	629043	sketch (Sketch on SRS064645)	COMPLETED	0	2024-09-18 04:52:29.965	41.2s	41s	518.7%	8.8 GB	12.5 GB	8.3 GB	2.1 GB
4	36/c42c57	626834	sketch (Sketch on SRS019129)	COMPLETED	0	2024-09-18 04:52:29.747	44.7s	44.7s	547.7%	8.3 GB	12 GB	6.9 GB	1.6 GB
21	ec/193d6f	629809	sketch (Sketch on SRS063215)	COMPLETED	0	2024-09-18 04:52:30.031	45.3s	45.2s	527.1%	9.7 GB	12.5 GB	9.7 GB	2.3 GB
5	bb/62c16e	629860	sketch (Sketch on SRS062540)	COMPLETED	0	2024-09-18 04:52:30.035	46.6s	46.5s	520.9%	10.4 GB	12.5 GB	10.9 GB	2.5 GB
64	57/8f8d7a	627893	sketch (Sketch on SRS014689)	COMPLETED	0	2024-09-18 04:52:29.866	47s	46.9s	442.1%	9.5 GB	12.5 GB	8.2 GB	1.9 GB
2	4b/464c88	629760	sketch (Sketch on SRS022524)	COMPLETED	0	2024-09-18 04:52:30.027	47s	46.9s	538.9%	9.2 GB	12.5 GB	7.8 GB	2 GB
45	9f/b4a627	627366	sketch (Sketch on SRS019027)	COMPLETED	0	2024-09-18 04:52:29.816	47.9s	47.8s	522.1%	10.4 GB	12.5 GB	10.7 GB	2.6 GB
18	da/4ff4a0	626758	sketch (Sketch on SRS016203)	COMPLETED	0	2024-09-18 04:52:29.729	48.3s	48.2s	554.4%	10.3 GB	12.5 GB	11.1 GB	2.7 GB
26	8b/bed18c	628556	sketch (Sketch on SRS013947)	COMPLETED	0	2024-09-18 04:52:29.924	50.6s	50.5s	554.8%	10.2 GB	12.5 GB	11 GB	2.7 GB
47	e4/9a95d1	629472	sketch (Sketch on SRS019026)	COMPLETED	0	2024-09-18 04:52:30.005	52.5s	52.5s	509.5%	10.4 GB	12.5 GB	10.6 GB	2.5 GB
38	da/168e00	626789	sketch (Sketch on SRS015060)	COMPLETED	0	2024-09-18 04:52:29.737	54.4s	54.3s	526.8%	10.6 GB	12.5 GB	13.6 GB	3.3 GB
24	fa/2f9260	628848	sketch (Sketch on SRS011452)	COMPLETED	0	2024-09-18 04:52:29.949	56.2s	56.2s	498.3%	10.8 GB	12.5 GB	13.8 GB	3.3 GB
51	57/d8eeeb	628178	sketch (Sketch on SRS019389)	COMPLETED	0	2024-09-18 04:52:29.888	56.7s	56.6s	538.6%	10.4 GB	12.5 GB	14.3 GB	3.5 GB
44	8f/ffecb0	628586	sketch (Sketch on SRS055426)	COMPLETED	0	2024-09-18 04:52:29.927	58.2s	58.1s	552.6%	10.9 GB	12.5 GB	13.1 GB	3.3 GB
46	ea/89359b	627732	sketch (Sketch on SRS045127)	COMPLETED	0	2024-09-18 04:52:29.851	1m 1s	1m 1s	563.1%	10.8 GB	12.5 GB	12.9 GB	3.4 GB
22	80/67ff59	627408	sketch (Sketch on SRS019125)	COMPLETED	0	2024-09-18 04:52:29.820	1m 5s	1m 5s	624.1%	11.1 GB	12.5 GB	24 GB	5.9 GB
35	42/f4decb	627608	sketch (Sketch on SRS014473)	COMPLETED	0	2024-09-18 04:52:29.840	1m 6s	1m 6s	577.6%	11.1 GB	12.5 GB	20.5 GB	5.2 GB
12	e4/9bd5ac	626846	sketch (Sketch on SRS062878)	COMPLETED	0	2024-09-18 04:52:29.751	1m 7s	1m 7s	582.5%	11.2 GB	12.5 GB	21.4 GB	5.3 GB
53	ba/861944	627138	sketch (Sketch on SRS013946)	COMPLETED	0	2024-09-18 04:52:29.799	1m 13s	1m 13s	651.0%	11.2 GB	12.5 GB	28 GB	7.2 GB
70	45/e24afa	840464	pairwise_matrix (Pairwise matrix on all sketches)	COMPLETED	0	2024-09-18 04:53:43.167	7.3s	7s	298.5%	221.4 MB	17.2 GB	351.3 MB	48.4 KB
71	80/289e10	841160	plot_distmat (Plotting distance matrix)	COMPLETED	0	2024-09-18 04:53:50.483	2.3s	2.2s	745.5%	165.3 MB	17.3 GB	135 MB	80.1 KB
